COLE_COD_DEPTO_UBICACION,COLE_COD_MCPIO_UBICACION,COLE_COD_DANE_ESTABLECIMIENTO,PUNT_GLOBAL,PERCENTIL_GLOBAL,calendario_a,calendario_b,cole_publico,cole_privado,cole_rural,cole_urbano,cole_nbilingue,cole_bilingue,cole_academico,COLE_CARACTER_NO APLICA,COLE_CARACTER_TÉCNICO,COLE_CARACTER_TÉCNICO/ACADÉMICO,etnia_si,internet_si,computador_si,ID
5.0,5001.0,1,304.76363636363635,81.32727272727273,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,49,52,55
5.0,5001.0,1,276.8979591836735,68.24489795918367,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,94,77,98
5.0,5001.0,1,252.2,54.78181818181818,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,52,51,55
5.0,5001.0,1,264.22222222222223,61.598290598290596,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,114,103,117
5.0,5001.0,1,258.9669421487603,58.27272727272727,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,112,100,121
5.0,5001.0,1,251.52083333333334,54.03125,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3,89,76,96
5.0,5001.0,1,254.32258064516128,54.516129032258064,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,30,24,31
5.0,5001.0,1,244.98305084745763,50.05084745762712,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,55,42,59
5.0,5001.0,1,251.24545454545455,53.30909090909091,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,94,72,110
5.0,5001.0,1,249.03125,52.71875,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,53,33,64
5.0,5001.0,1,235.56410256410257,44.35897435897436,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,31,25,39
5.0,5001.0,1,302.17977528089887,80.35955056179775,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,89,83,89
5.0,5001.0,1,257.96,57.24,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5,99,89,100
5.0,5001.0,1,255.0,56.20338983050848,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,54,39,59
5.0,5001.0,1,256.5869565217391,55.69565217391305,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,44,28,46
5.0,5001.0,1,233.43046357615893,43.05960264900662,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,134,111,151
5.0,5001.0,1,224.8181818181818,37.93939393939394,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,26,16,33
5.0,5001.0,1,291.1470588235294,76.47058823529412,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,34,34,34
5.0,5001.0,1,276.3804347826087,67.55434782608695,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,89,86,92
5.0,5001.0,1,236.66101694915255,45.33898305084746,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3,43,36,59
5.0,5001.0,1,250.63333333333333,53.833333333333336,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3,28,24,30
5.0,5001.0,1,229.2962962962963,41.592592592592595,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,21,19,27
5.0,5001.0,1,261.5357142857143,60.142857142857146,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,27,18,28
5.0,5001.0,1,261.25,58.77272727272727,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,42,37,44
5.0,5001.0,1,241.91666666666666,47.888888888888886,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,34,25,36
5.0,5001.0,1,245.69230769230768,50.75824175824176,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,80,74,91
