code_dept,code_muni,COLE_COD_DANE_ESTABLECIMIENTO,PUNT_GLOBAL,PERCENTIL_GLOBAL,cole_privado,cole_publico,cole_urbano,cole_rural,etnia_si,internet_si,computador_si,ID,etnia_perc,int_perc,comp_perc,rural_share,privado_share
5,5001,276,258.50022717605117,55.92391304347826,105,171,263,13,148,19792,16608,22272,0.6645114942528735,88.86494252873564,74.56896551724138,4.710144927536232,38.04347826086957
5,5002,5,245.79422185379636,49.4,0,5,0,2,0,72,59,168,0.0,42.857142857142854,35.11904761904761,40.0,0.0
5,5004,1,222.3846153846154,36.0,0,1,1,0,0,6,2,13,0.0,46.15384615384615,15.384615384615385,0.0,0.0
5,5021,1,238.20833333333331,47.0,0,1,1,0,0,22,15,24,0.0,91.66666666666666,62.5,0.0,0.0
5,5030,3,238.05266955266953,45.333333333333336,0,3,1,1,0,130,102,164,0.0,79.26829268292683,62.19512195121951,33.33333333333333,0.0
5,5031,2,234.71991525423726,43.0,0,2,2,0,0,170,109,218,0.0,77.98165137614679,50.0,0.0,0.0
5,5034,7,240.29037955043577,46.285714285714285,0,7,2,4,3,132,106,246,1.2195121951219512,53.65853658536586,43.08943089430895,57.14285714285714,0.0
5,5036,1,213.625,29.0,0,1,0,1,0,3,2,8,0.0,37.5,25.0,100.0,0.0
5,5038,1,220.8148148148148,35.0,0,1,0,0,0,33,18,81,0.0,40.74074074074074,22.22222222222222,0.0,0.0
5,5040,1,207.2573529411765,27.0,0,1,0,0,0,83,51,136,0.0,61.029411764705884,37.5,0.0,0.0
5,5042,3,253.4589827383945,53.0,1,2,3,0,0,204,146,243,0.0,83.9506172839506,60.08230452674898,0.0,33.33333333333333
5,5044,1,236.3636363636364,45.0,0,1,1,0,0,6,9,22,0.0,27.27272727272727,40.909090909090914,0.0,0.0
5,5045,19,238.94421865151594,44.78947368421053,5,14,14,5,21,876,564,1155,1.8181818181818181,75.84415584415585,48.83116883116883,26.31578947368421,26.31578947368421
5,5051,8,212.05994933209365,29.625,0,8,1,6,24,116,67,315,7.6190476190476195,36.82539682539683,21.26984126984127,75.0,0.0
5,5055,1,223.52380952380952,36.0,0,1,0,0,0,26,20,42,0.0,61.904761904761905,47.61904761904761,0.0,0.0
5,5059,1,267.42857142857144,63.0,0,1,0,0,0,13,10,21,0.0,61.904761904761905,47.61904761904761,0.0,0.0
5,5079,7,239.81342115091596,46.714285714285715,1,6,4,3,6,354,282,445,1.348314606741573,79.5505617977528,63.370786516853926,42.857142857142854,14.285714285714285
5,5086,2,226.73567921440264,38.0,0,2,1,1,0,49,35,86,0.0,56.97674418604651,40.69767441860465,50.0,0.0
5,5088,52,256.92297407423973,55.82692307692308,20,32,49,3,20,3767,3147,4200,0.4761904761904762,89.69047619047619,74.92857142857143,5.769230769230769,38.46153846153847
5,5091,1,223.4558823529412,36.0,0,1,0,0,0,35,28,68,0.0,51.470588235294116,41.17647058823529,0.0,0.0
5,5093,2,219.64151171214684,34.0,0,2,0,1,0,60,45,142,0.0,42.25352112676056,31.690140845070424,50.0,0.0
5,5101,4,244.5909014847268,48.5,1,3,2,2,0,87,62,161,0.0,54.037267080745345,38.50931677018634,50.0,25.0
5,5107,1,234.45454545454547,43.0,0,1,0,0,0,17,10,33,0.0,51.515151515151516,30.303030303030305,0.0,0.0
5,5113,2,217.1517857142857,32.0,0,2,0,1,0,53,35,70,0.0,75.71428571428571,50.0,50.0,0.0
5,5120,4,218.77689576799747,33.5,0,4,2,1,2,103,51,224,0.8928571428571428,45.982142857142854,22.767857142857142,25.0,0.0
5,5125,1,228.0877192982456,40.0,0,1,1,0,0,34,20,57,0.0,59.64912280701754,35.08771929824561,0.0,0.0
5,5129,5,261.76878397537166,58.4,1,4,3,2,0,493,444,538,0.0,91.635687732342,82.5278810408922,40.0,20.0
5,5134,1,235.5897435897436,44.0,0,1,1,0,1,21,19,39,2.564102564102564,53.84615384615385,48.717948717948715,0.0,0.0
5,5138,5,226.20825815275944,38.0,0,5,2,3,0,67,43,161,0.0,41.61490683229814,26.70807453416149,60.0,0.0
5,5142,1,242.69767441860463,47.0,0,1,1,0,0,19,11,43,0.0,44.18604651162791,25.581395348837212,0.0,0.0
5,5145,1,230.5581395348837,40.0,0,1,1,0,1,27,24,43,2.3255813953488373,62.7906976744186,55.81395348837209,0.0,0.0
5,5147,7,227.359692987538,38.42857142857143,0,7,4,3,24,280,180,375,6.4,74.66666666666667,48.0,42.857142857142854,0.0
5,5148,6,263.65178710950767,59.833333333333336,1,5,4,2,0,424,328,499,0.0,84.96993987975952,65.7314629258517,33.33333333333333,16.666666666666664
5,5150,1,232.05263157894737,42.0,0,1,1,0,0,38,32,57,0.0,66.66666666666666,56.14035087719298,0.0,0.0
